[2020-08-19T11:02:06+0000] [PACMAN] Running 'pacman -r /mnt -Sy --cachedir=/mnt/var/cache/pacman/pkg --noconfirm linux-lts linux-lts-headers acpi amd-ucode b43-fwcutter bash btrfs-progs bzip2 coreutils crda dhclient diffutils dmraid dnsmasq dosfstools e2fsprogs ecryptfs-utils efibootmgr exfat-utils f2fs-tools file filesystem findutils gawk gcc-libs gettext glibc grep gzip inetutils intel-ucode iproute2 iptables iputils ipw2100-fw ipw2200-fw jfsutils less licenses linux-firmware logrotate lsb-release man-db manjaro-firmware manjaro-release manjaro-system man-pages memtest86+ mhwd mhwd-db mkinitcpio-openswap nano ntfs-3g os-prober pacman pciutils perl procps-ng psmisc reiserfsprogs sed shadow spectre-meltdown-checker s-nail sudo sysfsutils acpid cpupower cronie cryptsetup device-mapper dhcpcd haveged lvm2 mdadm nfs-utils rsync systemd-fsck-silent systemd-sysvcompat tlp wpa_supplicant tar texinfo usbutils util-linux vi wget which xfsprogs zsh accountsservice alsa-firmware alsa-plugins alsa-utils apparmor arandr bauh artwork-i3 autoconf automake avahi binutils bison blueman bluez-utils bmenu cantarell-fonts clipit deluge dfc dmidecode downgrade epdfview fakeroot ffmpeg ffmpegthumbnailer flac flex gcc gcolor2 gimp git gnome-keyring gparted groff gst-libav gst-plugins-bad gst-plugins-base gst-plugins-good gst-plugins-ugly gstreamer gtksourceview-pkgbuild gufw gvfs gvfs-afc gvfs-gphoto2 gvfs-mtp gvfs-smb hexchat htop inxi json-c kvantum-manjaro libdvdcss libgpod libtool lightdm-settings lightdm-slick-greeter lm_sensors lxappearance lxinput m4 maia-console make manjaro-application-utility manjaro-browser-settings manjaro-hello manjaro-hotfixes manjaro-i3-settings manjaro-printer manjaro-ranger-settings manjaro-settings-manager-notifier markdown_previewer matcha-gtk-theme mesa-demos mlocate mobile-broadband-provider-info moc modemmanager morc_menu mousepad ncdu netctl networkmanager network-manager-applet networkmanager-openconnect networkmanager-openvpn networkmanager-pptp networkmanager-vpnc nss-mdns ntp openresolv openssh p7zip palemoon-bin pamac patch patchutils pcmanfm perl-file-mimeinfo polkit-gnome poppler-data powertop qt5ct qt5-styleplugins ranger sbxkb screenfetch snapd speedtest-cli subversion syslog-ng terminus-font tree ttf-bitstream-vera ttf-dejavu ttf-droid ttf-inconsolata ttf-indic-otf ttf-liberation upower vertex-maia-themes vi vibrancy-icons-teal viewnior vim vlc volumeicon w3m wallpapers-juhraya wmutils xarchiver xautolock xcursor-chameleon-pearl xcursor-maia xdg-utils xdotool xf86-input-elographics xf86-input-evdev xf86-input-libinput xf86-input-void xfburn xfce4-power-manager xorg-twm xorg-xhost xorg-xinit xorg-xkill xorg-xprop xterm xdg-user-dirs xorg-server yay zensu systemd'
[2020-08-19T11:02:06+0000] [PACMAN] synchronizing package lists
[2020-08-19T11:10:47+0000] [ALPM] transaction started
[2020-08-19T11:10:48+0000] [ALPM] installed linux-api-headers (5.6.11-1)
[2020-08-19T11:10:48+0000] [ALPM] installed tzdata (2020a-1)
[2020-08-19T11:10:48+0000] [ALPM] installed iana-etc (20200720-1)
[2020-08-19T11:10:48+0000] [ALPM] installed filesystem (2020.05-1)
[2020-08-19T11:10:48+0000] [ALPM] installed glibc (2.31-5)
[2020-08-19T11:10:48+0000] [ALPM] installed attr (2.4.48-3)
[2020-08-19T11:10:48+0000] [ALPM] installed acl (2.2.53-3)
[2020-08-19T11:10:48+0000] [ALPM] installed gcc-libs (10.1.0-2)
[2020-08-19T11:10:48+0000] [ALPM] installed bashrc-manjaro (5.0.018-1)
[2020-08-19T11:10:49+0000] [ALPM] installed ncurses (6.2-1)
[2020-08-19T11:10:49+0000] [ALPM] installed readline (8.0.004-1)
[2020-08-19T11:10:49+0000] [ALPM] installed bash (5.0.018-1)
[2020-08-19T11:10:49+0000] [ALPM] installed gmp (6.2.0-1)
[2020-08-19T11:10:49+0000] [ALPM] installed libcap (2.38-1)
[2020-08-19T11:10:49+0000] [ALPM] installed gdbm (1.18.1-3)
[2020-08-19T11:10:49+0000] [ALPM] installed db (5.3.28-5)
[2020-08-19T11:10:49+0000] [ALPM] installed perl (5.32.0-1)
[2020-08-19T11:10:49+0000] [ALPM] installed openssl (1.1.1.g-2)
[2020-08-19T11:10:49+0000] [ALPM] installed coreutils (8.32-1)
[2020-08-19T11:10:50+0000] [ALPM] installed linux-firmware (20200807.r1689.c331aa9-1)
[2020-08-19T11:10:50+0000] [ALPM] installed zlib (1:1.2.11-4)
[2020-08-19T11:10:50+0000] [ALPM] installed xz (5.2.5-1)
[2020-08-19T11:10:50+0000] [ALPM] installed kmod (27-1)
[2020-08-19T11:10:50+0000] [ALPM] installed mpfr (4.0.2-2)
[2020-08-19T11:10:50+0000] [ALPM] installed gawk (5.1.0-1)
[2020-08-19T11:10:50+0000] [ALPM] installed mkinitcpio-busybox (1.31.1-1)
[2020-08-19T11:10:50+0000] [ALPM] installed cracklib (2.9.7-2)
[2020-08-19T11:10:50+0000] [ALPM] installed libutil-linux (2.36-1)
[2020-08-19T11:10:50+0000] [ALPM] installed e2fsprogs (1.45.6-2)
[2020-08-19T11:10:50+0000] [ALPM] installed libsasl (2.1.27-3)
[2020-08-19T11:10:50+0000] [ALPM] installed libldap (2.4.50-2)
[2020-08-19T11:10:50+0000] [ALPM] installed keyutils (1.6.3-1)
[2020-08-19T11:10:51+0000] [ALPM] installed krb5 (1.18.2-1)
[2020-08-19T11:10:51+0000] [ALPM] installed libtirpc (1.2.6-1)
[2020-08-19T11:10:51+0000] [ALPM] installed pambase (20190105.1-2)
[2020-08-19T11:10:51+0000] [ALPM] installed pam (1.3.1-2)
[2020-08-19T11:10:51+0000] [ALPM] installed libcap-ng (0.7.10-1)
[2020-08-19T11:10:51+0000] [ALPM] installed audit (2.8.5-6)
[2020-08-19T11:10:51+0000] [ALPM] installed shadow (4.8.1-3)
[2020-08-19T11:10:51+0000] [ALPM] installed libgpg-error (1.38-1)
[2020-08-19T11:10:51+0000] [ALPM] installed libgcrypt (1.8.6-1)
[2020-08-19T11:10:51+0000] [ALPM] installed lz4 (1:1.9.2-2)
[2020-08-19T11:10:51+0000] [ALPM] installed systemd-libs (245.7-2)
[2020-08-19T11:10:51+0000] [ALPM] installed util-linux (2.36-1)
[2020-08-19T11:10:51+0000] [ALPM] installed bzip2 (1.0.8-3)
[2020-08-19T11:10:51+0000] [ALPM] installed expat (2.2.9-3)
[2020-08-19T11:10:51+0000] [ALPM] installed zstd (1.4.5-1)
[2020-08-19T11:10:51+0000] [ALPM] installed libarchive (3.4.3-1)
[2020-08-19T11:10:51+0000] [ALPM] installed diffutils (3.7-3)
[2020-08-19T11:10:51+0000] [ALPM] installed findutils (4.7.0-2)
[2020-08-19T11:10:51+0000] [ALPM] installed pcre (8.44-1)
[2020-08-19T11:10:51+0000] [ALPM] installed grep (3.4-1)
[2020-08-19T11:10:51+0000] [ALPM] installed less (551-3)
[2020-08-19T11:10:51+0000] [ALPM] installed gzip (1.10-3)
